Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WIPRO,EQ,February,458.55,458.35,465.15,457.1,459.95,460.5,461.52,1313945,606413871.8,26921,605457,46.08
WIPRO,EQ,February,460.5,458.3,466.85,457.35,466.5,466,462.44,988901,457306040.8,21343,560225,56.65
WIPRO,EQ,February,466,467.35,472.2,464.4,467.1,469.25,468.36,767522,359473770.7,16151,346411,45.13
WIPRO,EQ,February,469.25,468,476,467.25,475,474.45,472.82,848151,401026930.9,21810,365093,43.05
WIPRO,EQ,February,474.45,477.15,477.7,472.2,476,476.7,475.71,866074,412004189.7,24169,495846,57.25
WIPRO,EQ,February,476.7,476.55,479.3,468.6,474.25,474.7,473.41,1057592,500678677.3,21705,582428,55.07
WIPRO,EQ,February,474.7,473,481.9,473,479.55,480.8,479.06,1062565,509035602.1,23367,498155,46.88
WIPRO,EQ,February,480.8,482,483.65,474.05,474.2,475.35,477.21,789505,376756946.4,15159,364365,46.15
WIPRO,EQ,February,475.35,475,477.4,473.05,475.25,475.65,475.37,572727,272256958.3,8723,302350,52.79
WIPRO,EQ,February,475.65,475,480.75,474.15,475.05,475.8,476.94,1280515,610722520.6,22748,693215,54.14
WIPRO,EQ,February,475.8,475.1,477.55,470.2,475,474.5,474.17,1042271,494218115.7,64389,676993,64.95
WIPRO,EQ,February,474.5,474.5,489.25,471.55,486,486.1,483.69,1630100,788456877.3,33803,1053989,64.66
WIPRO,EQ,February,486.1,480,492.6,479.65,490.95,489.75,489.26,1411538,690612068.9,25451,769823,54.54
WIPRO,EQ,February,489.75,490,492.2,487.05,487.05,488.8,489.5,1012714,495725938,29605,576648,56.94
WIPRO,EQ,March,488.8,488,495.15,485.8,488.05,488.55,489.48,1017432,498012560.9,15777,399642,39.28
WIPRO,EQ,March,488.55,494,495.45,488.1,491,490.2,491.85,1016827,500123969.1,21919,363797,35.78
WIPRO,EQ,March,490.2,490.8,495.65,487.2,493,493.85,492.33,740118,364384771.3,23077,373919,50.52
WIPRO,EQ,March,493.85,491.3,492.65,488.6,491,491.9,491.29,589369,289549573.4,20629,281352,47.74
WIPRO,EQ,March,491.9,493.5,499.6,491.9,492.25,495.15,494.94,1650203,816756305.1,30853,1197969,72.6
WIPRO,EQ,March,495.15,494.65,496.2,489.3,494.5,495.1,492.54,574626,283028866.9,21979,333351,58.01
WIPRO,EQ,March,495.1,493,493,483.35,484.4,484.5,486.33,704895,342812182.7,28067,338413,48.01
WIPRO,EQ,March,484.5,485.1,488.95,483.6,486.5,487.05,486.45,546451,265820158.5,17389,286237,52.38
WIPRO,EQ,March,487.05,490,504.6,489.4,501,501.35,496.97,1228734,610640315.9,38020,915188,74.48
WIPRO,EQ,March,501.35,505.7,505.9,492.4,494.8,494.8,497.2,1801427,895671970.7,44522,1322306,73.4
WIPRO,EQ,March,494.8,497.3,502.9,495,501.9,500.55,497.37,1659167,825220763,27493,1287828,77.62
WIPRO,EQ,March,500.55,504,507,498.95,503.5,504.25,503.66,1664216,838198783.7,26771,1260280,75.73
WIPRO,EQ,March,504.25,504,504.25,495.2,496.6,497.5,498.87,703478,350943737.4,16716,477230,67.84
WIPRO,EQ,March,497.5,493.1,502,493.1,499,498.65,498.84,1115886,556652906.2,30521,813167,72.87
WIPRO,EQ,March,498.65,493.5,503.4,492,500.45,500.55,499.99,1991266,995608793,30910,1624169,81.56
WIPRO,EQ,March,500.55,503,512,500.9,509.75,510,508.56,2798039,1422974913,40061,2135935,76.34
WIPRO,EQ,March,510,509.45,514,509.45,513.5,513.25,512.49,1511636,774699835.4,26861,1066513,70.55
WIPRO,EQ,March,513.25,508.35,512.45,502.8,504.45,504,505.35,981134,495813395.6,30959,730485,74.45
WIPRO,EQ,March,504,505,511,502.7,506.85,507.55,507.59,623110,316285574.6,18585,307104,49.29
WIPRO,EQ,March,507.55,508.45,513.9,502.2,511,512.25,508.36,1008883,512877481.9,26382,589361,58.42
WIPRO,EQ,March,512.25,510.75,518.7,506.4,513.25,515.95,514.48,2679436,1378519657,37653,2075374,77.46
WIPRO,EQ,March,515.95,512.2,517.65,509.8,515.2,515.7,514.31,1511559,777415598.8,22844,1138795,75.34
